Match_ID,Blue_Team,Red_Team,Blue_Missing_Smite,Red_Missing_Smite,Blue_Win_Probability_%,Red_Win_Probability_%,Primary_Deciding_Factor,Factor_Impact
31,"Taric, Syndra, Darius, Urgot, Elise","Tahm Kench, Corki, Master Yi, Ryze, Lux",No,No,86.07,13.93,Blue Counter-Pick Advantage,-14.82
32,"Diana, Corki, Jinx, Miss Fortune, Udyr","Vel'Koz, Rek'Sai, Galio, Kled, Nocturne",No,No,36.16,63.84,Red Draft Strength,10.35
33,"Lucian, Elise, Blitzcrank, Vel'Koz, Nautilus","Amumu, Ezreal, Sion, Cho'Gath, Lulu",No,No,41.08,58.92,Blue Counter-Pick Advantage,8.96
34,"Renekton, Taric, Irelia, Aatrox, Fiora","Poppy, Sona, Vi, Gnar, Ashe",No,YES,94.96,5.04,Severe Tactical Spell Error,37.5
35,"Morgana, Lee Sin, Ezreal, Hecarim, Ornn","Wukong, Veigar, Bard, Yorick, Evelynn",No,No,17.2,82.8,Blue Team Synergy,16.15
36,"Garen, Twisted Fate, Draven, Yasuo, Zed","Ekko, Kog'Maw, Karma, Gangplank, Caitlyn",No,No,77.71,22.29,Blue Counter-Pick Advantage,-7.12
37,"Evelynn, Xin Zhao, Tahm Kench, Karma, Hecarim","Rammus, None, Brand, Riven, Lux",No,No,58.93,41.07,Blue Draft Strength,-13.95
38,"Singed, Thresh, Wukong, Lee Sin, Rengar","Gangplank, Jax, Azir, Jinx, Pantheon",No,No,30.91,69.09,Red Team Synergy,-6.17
39,"Teemo, Mordekaiser, Sivir, Riven, Taliyah","Urgot, Kennen, Nocturne, Poppy, Varus",No,No,22.45,77.55,Red Draft Strength,22.55
40,"Ivern, Jinx, Nunu, Malzahar, Darius","Jax, Nami, Hecarim, Karma, Xayah",No,No,75.68,24.32,Blue Team Synergy,-7.29
41,"None, Viktor, Ekko, Karthus, Brand","Lucian, Aatrox, Caitlyn, Cho'Gath, Malzahar",No,No,21.34,78.66,Blue Team Synergy,4.88
42,"Nocturne, Nasus, Lissandra, Annie, Shaco","Skarner, Elise, Garen, Zilean, Udyr",No,No,16.88,83.12,Red Draft Strength,12.16
43,"Camille, Sivir, Lee Sin, Syndra, Orianna","Jayce, Vi, Cho'Gath, Cassiopeia, Caitlyn",No,No,59.78,40.22,Blue Counter-Pick Advantage,5.84
44,"Nunu, Elise, Xayah, Fizz, Volibear","Veigar, Lulu, Poppy, Gragas, Anivia",No,No,49.6,50.4,Blue Team Synergy,16.85
45,"Viktor, Alistar, Lee Sin, Katarina, Aurelion Sol","Zed, Rumble, Jhin, Syndra, Camille",No,No,45.32,54.68,Red Draft Strength,6.98
46,"Jayce, Lee Sin, Teemo, Janna, Shaco","Camille, Olaf, Tristana, Urgot, Rumble",No,No,76.69,23.31,Blue Counter-Pick Advantage,-8.24
47,"Caitlyn, Rammus, Annie, Sion, Taliyah","Aurelion Sol, Fiddlesticks, Evelynn, Syndra, Orianna",No,No,24.12,75.88,Red Draft Strength,11.64
48,"Nocturne, Jayce, Sona, Taliyah, Jarvan IV","Azir, LeBlanc, Darius, Quinn, Kayle",No,No,63.22,36.78,Red Draft Strength,16.64
49,"Graves, Bard, Heimerdinger, Thresh, Katarina","Caitlyn, Shen, Xerath, Skarner, Swain",YES,No,4.6,95.4,Severe Tactical Spell Error,-37.5
50,"Singed, Tryndamere, Vi, Zed, Galio","Poppy, Nunu, Ekko, Kindred, Aurelion Sol",No,No,69.15,30.85,Red Team Synergy,-15.35
51,"Wukong, Braum, Kayn, Brand, Pantheon","Jinx, Ahri, Draven, Rammus, Viktor",No,No,55.58,44.42,Blue Counter-Pick Advantage,-2.78
52,"Malzahar, Garen, None, Jarvan IV, Darius","Kayn, Shyvana, Thresh, Udyr, Ivern",No,No,50.16,49.84,Blue Counter-Pick Advantage,-12.83
53,"Ahri, Amumu, Graves, Gangplank, Nidalee","Volibear, Mordekaiser, Vladimir, Pantheon, Olaf",No,No,24.29,75.71,Blue Team Synergy,12.55
54,"Fiora, Braum, Olaf, Galio, Nunu","Zed, Katarina, Heimerdinger, Vladimir, Alistar",No,No,21.45,78.55,Red Draft Strength,10.16
55,"Vladimir, Ezreal, Lux, Skarner, Udyr","Taric, Brand, Twitch, Braum, Kassadin",No,No,56.0,44.0,Blue Draft Strength,-12.73
56,"Sion, Nasus, Karthus, Yasuo, Udyr","Orianna, Dr. Mundo, Shaco, Lux, Lulu",No,No,78.37,21.63,Blue Counter-Pick Advantage,-7.88
57,"Ezreal, Tryndamere, Draven, Gnar, Xin Zhao","Mordekaiser, Ornn, Kassadin, Shaco, Galio",No,No,69.86,30.14,Red Draft Strength,21.22
58,"Maokai, Nautilus, Rengar, Jinx, Miss Fortune","Ivern, Morgana, Veigar, Karma, Syndra",No,No,80.73,19.27,Blue Counter-Pick Advantage,-20.17
59,"Amumu, Jhin, Talon, Galio, Orianna","Olaf, LeBlanc, Karthus, Kassadin, Shyvana",YES,No,15.49,84.51,Severe Tactical Spell Error,-37.5
60,"Zyra, Udyr, Jinx, Urgot, Zac","Volibear, Ashe, Poppy, Shyvana, Twitch",No,No,73.15,26.85,Blue Draft Strength,-8.49
61,"Kayn, Kha'Zix, Swain, Cho'Gath, Orianna","Akali, Vayne, Elise, Maokai, Trundle",No,No,39.9,60.1,Blue Team Marksmans,2.72
62,"Sejuani, Lissandra, Tryndamere, Urgot, Aatrox","Amumu, Volibear, Rakan, Xerath, Jax",No,YES,76.76,23.24,Severe Tactical Spell Error,37.5
63,"Warwick, Aatrox, Jinx, Malphite, Rammus","Wukong, Ivern, Taric, Rakan, Fiora",YES,No,12.26,87.74,Severe Tactical Spell Error,-37.5
64,"Kled, Nami, Heimerdinger, Gangplank, Poppy","Lux, Fiddlesticks, Nautilus, Leona, Vladimir",No,No,19.4,80.6,Blue Team Synergy,18.21
65,"Diana, Corki, Caitlyn, Thresh, Jax","Tryndamere, Talon, Pantheon, Warwick, Braum",No,No,15.73,84.27,Red Team Synergy,9.95
66,"Kha'Zix, Jinx, Varus, Rek'Sai, Ivern","Master Yi, Ashe, Graves, Jarvan IV, Singed",No,No,40.85,59.15,Blue Draft Strength,-7.35
67,"Ryze, Fiora, Vladimir, Nami, Warwick","Blitzcrank, Singed, Elise, Caitlyn, Karthus",No,No,14.9,85.1,Blue Counter-Pick Advantage,19.81
68,"Vi, Irelia, Rumble, Kayle, Fizz","Trundle, Jax, Ekko, Varus, Lissandra",No,YES,95.25,4.75,Severe Tactical Spell Error,37.5
69,"Tryndamere, Warwick, Quinn, Sivir, Rakan","Sona, Azir, Malphite, Blitzcrank, Jayce",No,No,65.15,34.85,Blue Counter-Pick Advantage,-4.63
70,"Irelia, Teemo, Jayce, Corki, Renekton","Riven, Nocturne, Gangplank, Miss Fortune, Thresh",No,No,48.85,51.15,Blue Draft Strength,-4.54
71,"Nocturne, Aatrox, Ivern, Vayne, Fiddlesticks","Sejuani, Wukong, Camille, Nami, Annie",No,No,29.67,70.33,Red Team Synergy,10.43
72,"Kassadin, Lucian, Ornn, Darius, Kayn","Zac, Jax, Irelia, Draven, Vladimir",No,No,24.6,75.4,Blue Team Synergy,10.26
73,"LeBlanc, Galio, Varus, Nunu, Volibear","Kassadin, Rek'Sai, Vayne, Xin Zhao, Mordekaiser",No,No,24.68,75.32,Blue Counter-Pick Advantage,25.57
74,"Nunu, Zyra, Hecarim, Kog'Maw, Morgana","Syndra, Corki, Aatrox, Zed, Draven",No,YES,94.53,5.47,Severe Tactical Spell Error,37.5
75,"Vi, Vel'Koz, Corki, Ashe, Trundle","Quinn, Taric, Kalista, Kha'Zix, Lucian",No,No,31.01,68.99,Blue Team Synergy,13.31
76,"Viktor, Yasuo, Zac, Xin Zhao, Camille","Sion, Maokai, Jax, Tahm Kench, Twitch",No,No,24.83,75.17,Blue Draft Strength,-6.6
77,"Ornn, Aurelion Sol, Ashe, Nunu, Rakan","Nasus, Skarner, Olaf, Malphite, Orianna",No,No,18.56,81.44,Blue Team Synergy,9.14
78,"Xin Zhao, Skarner, Ezreal, Zilean, Singed","Elise, Amumu, Dr. Mundo, Warwick, Kog'Maw",No,No,19.8,80.2,Blue Counter-Pick Advantage,18.13
79,"Vladimir, Ezreal, Ornn, Amumu, Shyvana","Aatrox, Dr. Mundo, Lux, Olaf, Orianna",No,No,23.96,76.04,Blue Counter-Pick Advantage,13.01
80,"Quinn, Jax, Diana, LeBlanc, Pantheon","Mordekaiser, Morgana, Yasuo, Cassiopeia, Brand",No,No,72.05,27.95,Red Team Synergy,-10.16
81,"Xayah, Nidalee, Soraka, Garen, Nautilus","Jhin, Warwick, Brand, Sejuani, Morgana",YES,No,19.92,80.08,Severe Tactical Spell Error,-37.5
82,"Udyr, Rek'Sai, Janna, Leona, Draven","Jayce, Warwick, Rammus, Gnar, Graves",No,No,35.9,64.1,Red Team Synergy,5.57
83,"Garen, Nunu, Bard, Cassiopeia, Nasus","Swain, Braum, Zyra, Zed, Wukong",No,No,17.04,82.96,Blue Counter-Pick Advantage,9.31
84,"Soraka, Udyr, Amumu, Lissandra, Jayce","Kha'Zix, Volibear, Zilean, Vladimir, None",YES,YES,85.69,14.31,Blue Counter-Pick Advantage,-12.95
85,"Singed, Kha'Zix, Thresh, Riven, Cho'Gath","Vladimir, Xayah, Lucian, Jax, Nunu",No,No,62.85,37.15,Blue Counter-Pick Advantage,-7.28
86,"Poppy, Pantheon, Vi, Nidalee, Rakan","Dr. Mundo, Renekton, Heimerdinger, Twitch, Kalista",No,No,26.15,73.85,Blue Team Synergy,14.34
87,"Zilean, Sona, Riven, Braum, Maokai","Shaco, Xayah, Xin Zhao, Shyvana, None",No,No,62.27,37.73,Red Draft Strength,-7.62
88,"Zed, Kog'Maw, Lissandra, Mordekaiser, Pantheon","Lee Sin, Zyra, Brand, Skarner, Braum",No,No,84.31,15.69,Blue Counter-Pick Advantage,-13.15
89,"Sejuani, Graves, Swain, Annie, LeBlanc","None, Aurelion Sol, Lucian, Warwick, Singed",YES,No,55.58,44.42,Severe Tactical Spell Error,-37.5
90,"Galio, Talon, Diana, Braum, Urgot","Kassadin, Jarvan IV, LeBlanc, Heimerdinger, Pantheon",No,No,58.74,41.26,Red Draft Strength,7.85
91,"Annie, Tryndamere, Fiddlesticks, Lulu, Anivia","Diana, Taric, Jax, Kindred, Shen",No,No,18.43,81.57,Red Draft Strength,6.4
92,"Illaoi, Aurelion Sol, Camille, Karma, Quinn","Lulu, Yorick, Kindred, Kayn, Nami",No,No,50.38,49.62,Blue Draft Strength,-14.94
93,"Ekko, Nidalee, Swain, Braum, Karma","Zyra, Sona, Zilean, Camille, Illaoi",No,No,27.75,72.25,Red Draft Strength,8.86
94,"Katarina, Thresh, Pantheon, Kalista, Nautilus","Mordekaiser, Jinx, Karthus, Xayah, Leona",No,No,21.31,78.69,Blue Counter-Pick Advantage,11.8
95,"Draven, Nasus, Braum, Ahri, Kassadin","Irelia, Zyra, Sejuani, Trundle, Zed",YES,No,9.06,90.94,Severe Tactical Spell Error,-37.5
96,"Sivir, Olaf, Kassadin, Veigar, Blitzcrank","Graves, Rakan, Varus, Kayn, Nami",No,No,69.2,30.8,Red Team Synergy,-6.38
97,"Blitzcrank, Tahm Kench, Rek'Sai, Anivia, Leona","Sivir, Shen, Heimerdinger, Kled, Kayn",No,No,40.09,59.91,Blue Team Synergy,9.84
98,"Zyra, Ziggs, Kha'Zix, Rengar, Corki","Vayne, Rammus, Sion, Gragas, Amumu",YES,YES,50.19,49.81,Blue Counter-Pick Advantage,12.63
99,"Galio, Quinn, Karma, Corki, Lux","Illaoi, Lee Sin, Orianna, Varus, Wukong",No,YES,50.05,49.95,Severe Tactical Spell Error,37.5
100,"Nunu, Amumu, Rakan, Quinn, Akali","Hecarim, Nidalee, Vladimir, Kayle, Galio",No,YES,71.57,28.43,Severe Tactical Spell Error,37.5
101,"Ahri, Gnar, Nasus, Morgana, Trundle","Volibear, Diana, Darius, Twisted Fate, Lissandra",No,No,80.81,19.19,Red Team Synergy,-13.77
102,"Twisted Fate, Vayne, Twitch, Warwick, Rakan","Riven, Sejuani, Pantheon, Blitzcrank, Caitlyn",No,No,35.7,64.3,Blue Draft Strength,9.85
103,"Rakan, Fiora, Bard, Diana, Kindred","Yorick, Heimerdinger, Pantheon, Mordekaiser, Akali",No,No,24.79,75.21,Blue Counter-Pick Advantage,16.19
104,"Alistar, Elise, Zyra, Wukong, Veigar","Swain, Vayne, Karthus, Bard, Vi",No,No,31.54,68.46,Blue Counter-Pick Advantage,6.61
105,"Rengar, Twitch, Fiddlesticks, Shaco, Udyr","Thresh, Taliyah, Jarvan IV, Hecarim, Kayn",No,No,75.01,24.99,Red Team Synergy,-9.34
106,"Vayne, Lucian, Ekko, Sivir, Gangplank","Rengar, Fizz, LeBlanc, Vi, Tahm Kench",No,YES,47.26,52.74,Severe Tactical Spell Error,37.5
107,"Renekton, Taliyah, Aatrox, Miss Fortune, Galio","Shaco, Sejuani, Yasuo, Rakan, Nasus",No,No,85.41,14.59,Blue Draft Strength,-13.36
108,"Darius, Akali, Caitlyn, Rakan, Leona","Tristana, Gnar, Syndra, Fizz, Wukong",No,No,52.38,47.62,Red Team Synergy,-5.34
109,"Kled, Kalista, Garen, Syndra, Fiddlesticks","Sejuani, Thresh, Sion, Aurelion Sol, Udyr",No,No,83.45,16.55,Blue Counter-Pick Advantage,-14.71
110,"Rengar, Soraka, Garen, Ziggs, Lucian","Sivir, Elise, Shen, Urgot, Leona",No,YES,89.97,10.03,Severe Tactical Spell Error,37.5
111,"Sona, Jayce, Hecarim, Wukong, Garen","Pantheon, Poppy, Aatrox, Tryndamere, Lee Sin",No,No,84.91,15.09,Blue Counter-Pick Advantage,-25.01
112,"Corki, Malzahar, Volibear, Warwick, Quinn","Vel'Koz, Kindred, Aatrox, Fiora, Maokai",YES,YES,77.4,22.6,Blue Counter-Pick Advantage,-18.0
113,"Renekton, Kalista, Ivern, Vayne, Ryze","Gragas, Udyr, Taliyah, Illaoi, Ornn",YES,No,12.55,87.45,Severe Tactical Spell Error,-37.5
114,"Olaf, Kog'Maw, Elise, Talon, Rammus","Graves, Sona, Katarina, Jayce, Rengar",No,YES,94.67,5.33,Severe Tactical Spell Error,37.5
115,"Teemo, Dr. Mundo, Jarvan IV, Anivia, Graves","Brand, Lux, None, Sion, Varus",No,No,74.45,25.55,Red Draft Strength,-5.77
116,"Rammus, Dr. Mundo, Ziggs, Kha'Zix, Lucian","Kayn, Kalista, Garen, Zyra, Graves",No,No,54.84,45.16,Red Team Synergy,-5.63
117,"Karthus, Kayle, Pantheon, Tristana, Urgot","Xayah, Sona, Ornn, Gangplank, Bard",No,No,73.48,26.52,Blue Counter-Pick Advantage,-6.29
118,"Nasus, Galio, Varus, Ryze, Camille","Renekton, Singed, Malzahar, Rakan, Leona",No,No,25.66,74.34,Blue Counter-Pick Advantage,13.66
119,"Miss Fortune, Leona, Heimerdinger, Fiddlesticks, Jhin","Volibear, Syndra, Rek'Sai, Olaf, Lux",No,No,19.23,80.77,Red Draft Strength,18.71
120,"Nunu, Jarvan IV, Master Yi, Gnar, Lulu","Malzahar, Ornn, Viktor, Sivir, Ahri",No,YES,94.33,5.67,Severe Tactical Spell Error,37.5
121,"Shaco, Rammus, Veigar, Irelia, Taric","Fiddlesticks, Mordekaiser, Graves, Maokai, Lee Sin",No,No,80.96,19.04,Blue Counter-Pick Advantage,-13.69
122,"Yasuo, Zac, Bard, Jarvan IV, Lissandra","Renekton, Camille, Nautilus, None, Maokai",No,No,49.97,50.03,Red Draft Strength,-4.79
123,"Nunu, Sivir, Veigar, Renekton, Jhin","Skarner, Annie, Nasus, Urgot, Kha'Zix",No,No,34.05,65.95,Red Draft Strength,10.74
124,"Gragas, Gangplank, Vi, Shaco, Kha'Zix","Morgana, Leona, Zilean, Twitch, Blitzcrank",YES,No,13.78,86.22,Severe Tactical Spell Error,-37.5
125,"Tryndamere, Shaco, Draven, Evelynn, Kha'Zix","Kennen, Janna, Teemo, Lucian, Master Yi",No,No,43.58,56.42,Blue Team Synergy,5.52
126,"Viktor, Dr. Mundo, Olaf, Anivia, Volibear","Zed, Camille, Jax, Kayle, Zilean",YES,No,20.17,79.83,Severe Tactical Spell Error,-37.5
127,"Kha'Zix, Cho'Gath, Ashe, Soraka, Ekko","Maokai, Kassadin, Nautilus, Zilean, Vi",No,YES,84.17,15.83,Severe Tactical Spell Error,37.5
128,"Draven, Kog'Maw, Kha'Zix, Illaoi, Taliyah","Ezreal, Sejuani, Jhin, Talon, Thresh",No,No,54.09,45.91,Blue Draft Strength,-9.15
129,"Katarina, Ekko, Mordekaiser, Fiora, Vi","Karma, Draven, Diana, Talon, Jayce",No,No,74.3,25.7,Blue Draft Strength,-6.97
130,"None, Kennen, Poppy, Sejuani, Veigar","Janna, Malphite, Malzahar, Cassiopeia, Lee Sin",No,No,28.6,71.4,Blue Counter-Pick Advantage,7.04
131,"Mordekaiser, Vladimir, Swain, Ekko, Caitlyn","Rumble, Kalista, Teemo, Shyvana, Twitch",YES,No,13.28,86.72,Severe Tactical Spell Error,-37.5
132,"Fiora, Irelia, Twitch, Kayle, Quinn","Miss Fortune, Twisted Fate, Annie, Xayah, Lux",No,No,72.36,27.64,Red Draft Strength,-2.78
133,"Sejuani, Alistar, Orianna, Fiddlesticks, Kindred","Sivir, Lissandra, Zed, Swain, Lux",No,No,24.18,75.82,Blue Team Synergy,9.71
134,"Jinx, Skarner, Taric, Singed, Corki","Bard, Lucian, Katarina, Sion, Fizz",No,No,38.4,61.6,Blue Team Synergy,16.34
135,"Morgana, Gnar, Gangplank, Yasuo, LeBlanc","Taliyah, Xerath, Swain, Bard, Elise",No,No,51.79,48.21,Red Draft Strength,9.09
136,"Sona, Lux, Yorick, Fiddlesticks, Akali","Syndra, Ryze, Pantheon, Gragas, Sejuani",No,No,81.34,18.66,Blue Counter-Pick Advantage,-16.71
137,"Shaco, Taric, Amumu, Talon, Zyra","Cassiopeia, Veigar, Leona, Yasuo, Trundle",No,No,56.18,43.82,Red Draft Strength,5.37
138,"Anivia, LeBlanc, Hecarim, Varus, Sejuani","Ivern, Blitzcrank, Xayah, Gnar, Pantheon",No,No,88.52,11.48,Blue Counter-Pick Advantage,-13.17
139,"Fizz, Diana, Rammus, Teemo, Gnar","Swain, Shaco, Thresh, Karthus, Sivir",No,No,41.11,58.89,Red Team Synergy,3.49
140,"Veigar, Irelia, Rengar, Alistar, Graves","Singed, Braum, Poppy, Sejuani, Malzahar",No,YES,76.77,23.23,Severe Tactical Spell Error,37.5
141,"Talon, Braum, Bard, Master Yi, Caitlyn","Evelynn, Renekton, Pantheon, Tristana, Twitch",No,No,37.1,62.9,Blue Counter-Pick Advantage,7.89
142,"Karma, Ziggs, Heimerdinger, Shaco, Anivia","Quinn, Poppy, Tahm Kench, Kled, Nunu",No,No,21.33,78.67,Red Draft Strength,22.95
143,"Quinn, Malzahar, Soraka, Ashe, Aatrox","Pantheon, Kennen, Renekton, Kog'Maw, Lee Sin",No,YES,90.65,9.35,Severe Tactical Spell Error,37.5
144,"Viktor, Nunu, Malphite, Trundle, Riven","Ashe, Skarner, Cho'Gath, Rakan, Annie",No,No,20.3,79.7,Blue Counter-Pick Advantage,12.95
145,"Draven, Kha'Zix, Azir, Twisted Fate, Orianna","Jinx, Kayn, Nidalee, Riven, Kled",No,No,43.56,56.44,Blue Team Synergy,9.79
146,"Vel'Koz, Zac, Nocturne, Tahm Kench, Gragas","Caitlyn, Katarina, Annie, Kha'Zix, Zed",No,No,49.41,50.59,Blue Draft Strength,-7.84
147,"Kassadin, Veigar, Amumu, Kindred, Graves","Nidalee, Kha'Zix, Kayle, Kog'Maw, Hecarim",No,No,37.7,62.3,Blue Draft Strength,-13.84
148,"Ahri, Fiddlesticks, Illaoi, Rek'Sai, Ashe","Galio, Twisted Fate, Jayce, Amumu, Udyr",No,No,38.65,61.35,Red Draft Strength,9.66
149,"Cassiopeia, Kha'Zix, Annie, Ashe, Lissandra","Xerath, Nocturne, Ahri, Caitlyn, Nami",No,No,26.8,73.2,Blue Draft Strength,-12.4
150,"Darius, Vi, Xayah, Twisted Fate, Lissandra","Kennen, Hecarim, Sion, Akali, Xin Zhao",YES,No,13.81,86.19,Severe Tactical Spell Error,-37.5
151,"Cho'Gath, Amumu, Janna, Fiddlesticks, Evelynn","Ashe, Ornn, Skarner, Swain, Malzahar",YES,No,30.16,69.84,Severe Tactical Spell Error,-37.5
152,"Sona, Sivir, Annie, Udyr, Jinx","Zac, Aurelion Sol, Shen, Lee Sin, Poppy",No,No,84.35,15.65,Blue Counter-Pick Advantage,-14.9
153,"Shyvana, Kindred, Bard, Ivern, Nidalee","Illaoi, Ahri, Zed, Sona, Jayce",No,No,40.53,59.47,Blue Draft Strength,-14.74
154,"Talon, Tristana, Ashe, Vayne, Rek'Sai","Cho'Gath, Yasuo, Twitch, Riven, Olaf",No,YES,92.18,7.82,Severe Tactical Spell Error,37.5
155,"Ziggs, Draven, Rammus, Quinn, Jayce","Aatrox, Jax, Sion, Darius, Xayah",No,No,67.29,32.71,Blue Counter-Pick Advantage,-5.31
156,"LeBlanc, Kennen, Dr. Mundo, Kled, Yorick","Gnar, Lux, Orianna, Camille, Shaco",No,No,39.09,60.91,Blue Team Synergy,12.44
157,"Tristana, Wukong, Xayah, Pantheon, Maokai","Warwick, Rakan, None, Janna, Singed",No,No,66.4,33.6,Red Draft Strength,-8.12
158,"Morgana, Poppy, Tahm Kench, Kha'Zix, Udyr","Rengar, Lucian, Nidalee, Kog'Maw, Zilean",No,No,19.48,80.52,Red Draft Strength,19.59
159,"Darius, Rumble, Evelynn, Poppy, Wukong","Ryze, Bard, Sion, Orianna, Aurelion Sol",No,No,36.37,63.63,Red Draft Strength,21.84
160,"Lux, Corki, Master Yi, Sivir, Rek'Sai","Lee Sin, Lucian, Garen, Illaoi, Fiora",No,No,76.25,23.75,Red Team Synergy,-11.36
161,"Quinn, Irelia, Pantheon, Aurelion Sol, Heimerdinger","Kled, Darius, Katarina, Nidalee, Malzahar",No,No,83.8,16.2,Blue Counter-Pick Advantage,-14.69
162,"Twisted Fate, Vel'Koz, Jhin, Xerath, Annie","Mordekaiser, Orianna, Zac, Camille, Volibear",No,No,18.16,81.84,Red Draft Strength,10.78
163,"Riven, Jax, Kindred, Graves, Syndra","Anivia, Viktor, Nautilus, Zac, Rumble",No,YES,94.69,5.31,Severe Tactical Spell Error,37.5
